ELEMENT,int atomicNumber,String symbol,String name,float atomicMass,Color cpkHexColor(,String),String electronConfiguration,float electronegativity,int atomicRadius,float ionizationEnergy,float electronAffinity,String oxidationStates,String standardState,float meltingPoint,float boilingPoint,double density,String groupBlock,Year yearDiscovered(,int)
AL,13,Al,Aluminum,26.981538,Color.decode(,BFA6A6,[Ne]3s2 3p1,1.61,184,5.986,0.441,3,Solid,933.437,2792,2.7,Post-transition metal,Year.of(,
SI,14,Si,Silicon,28.085,Color.decode(,F0C8A0,[Ne]3s2 3p2,1.9,210,8.152,1.385,"+4, +2, -4",Solid,1687,3538,2.3296,Metalloid,Year.of(,1854
P,15,P,Phosphorus,30.973762,Color.decode(,FF8000,[Ne]3s2 3p3,2.19,180,10.487,0.746,"+5, +3, -3",Solid,317.3,553.65,1.82,Nonmetal,Year.of(,1669
S,16,S,Sulfur,32.07,Color.decode(,FFFF30,[Ne]3s2 3p4,2.58,180,10.36,2.077,"+6, +4, -2",Solid,388.36,717.75,2.067,Nonmetal,Year.of(,
CL,17,Cl,Chlorine,35.45,Color.decode(,1FF01F,[Ne]3s2 3p5,3.16,175,12.968,3.617,"+7, +5, +1, -1",Gas,171.65,239.11,0.003214,Halogen,Year.of(,1774
AR,18,Ar,Argon,39.9,Color.decode(,80D1E3,[Ne]3s2 3p6,,188,15.76,,0,Gas,83.8,87.3,0.0017837,Noble gas,Year.of(,1894
K,19,K,Potassium,39.0983,Color.decode(,8F40D4,[Ar]4s1,0.82,275,4.341,0.501,1,Solid,336.53,1032,0.89,Alkali metal,Year.of(,1807
CA,20,Ca,Calcium,40.08,Color.decode(,3DFF00,[Ar]4s2,1,231,6.113,,2,Solid,1115,1757,1.54,Alkaline earth metal,Year.of(,
SC,21,Sc,Scandium,44.95591,Color.decode(,E6E6E6,[Ar]4s2 3d1,1.36,211,6.561,0.188,3,Solid,1814,3109,2.99,Transition metal,Year.of(,1879
TI,22,Ti,Titanium,47.867,Color.decode(,BFC2C7,[Ar]4s2 3d2,1.54,187,6.828,0.079,"+4, +3, +2",Solid,1941,3560,4.5,Transition metal,Year.of(,1791
